compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
"3,4,5-Triphenyl-1H-pyrazole",C21H16N2,C21H16N2,CSID239848,"3,4,5-Triphenyl-1H-pyrazole",2,0.08152599774505549
"1,3,5-triphenylpyrazole",C21H16N2,C21H16N2,CSID544306,"1,3,5-triphenylpyrazole",3,0.08152599774505549
"1,2,5-Triphenyl-1H-imidazole",C21H16N2,C21H16N2,CSID57585259,"1,2,5-Triphenyl-1H-imidazole",4,0.08152599774505549
"4-Methyl-1,6-diphenyl-2,7-naphthyridine",C21H16N2,C21H16N2,CSID67172749,"4-Methyl-1,6-diphenyl-2,7-naphthyridine",5,0.08152599774505549
asp-tyr-lys-trp,C30H38N6O8,C30H38N6O8,CSID16607454,asp-tyr-lys-trp,1,0.04208369233801573
asp-tyr-trp-lys,C30H38N6O8,C30H38N6O8,CSID16607568,asp-tyr-trp-lys,2,0.04208369233801573
tyr-asp-lys-trp,C30H38N6O8,C30H38N6O8,CSID16721116,tyr-asp-lys-trp,3,0.04208369233801573
tyr-asp-trp-lys,C30H38N6O8,C30H38N6O8,CSID16721230,tyr-asp-trp-lys,4,0.04208369233801573
lys-trp-asp-tyr,C30H38N6O8,C30H38N6O8,CSID16670657,lys-trp-asp-tyr,5,0.04202537678376575
"(15R)-21-Amino-18-hydroxy-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphahenicosan-15-yl (6Z,9Z,12Z,15Z)-6,9,12,15-octadecatetraenoate",C35H62NO8P,C35H62NO8P,CSID113375423,"(15R)-21-Amino-18-hydroxy-18-oxido-12-oxo-13,17,19-trioxa-18λ~5~-phosphahenicosan-15-yl (6Z,9Z,12Z,15Z)-6,9,12,15-octadecatetraenoate",1,0.5
"(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-(dodecanoyloxy)propyl (6Z,9Z,12Z,15Z)-6,9,12,15-octadecatetraenoate",C35H62NO8P,C35H62NO8P,CSID113375646,"(2R)-3-{[(2-Aminoethoxy)(hydroxy)phosphoryl]oxy}-2-(dodecanoyloxy)propyl (6Z,9Z,12Z,15Z)-6,9,12,15-octadecatetraenoate",2,0.5
Nonadecanedioic acid,C19H36O4,C19H36O4,CSID11395055,Nonadecanedioic acid,1,0.04063564947613272
2-(Formyloxy)octadecanoic acid,C19H36O4,C19H36O4,CSID67160514,2-(Formyloxy)octadecanoic acid,2,0.04038407289706089
Carboxystearic acid,C19H36O4,C19H36O4,CSID70457,Carboxystearic acid,3,0.04038407289706089
Avocadene 1-acetate,C19H36O4,C19H36O4,HMDB31043,Avocadene 1-acetate,4,0.04014188040090747
"Methyl (9Z)-12,13-dihydroxy-9-octadecenoate",C19H36O4,C19H36O4,CSID24604266,"Methyl (9Z)-12,13-dihydroxy-9-octadecenoate",5,0.04013725530289511
"(3R,31R)-3,31-Dihydroxy-29-oxodotriacontyl α-D-mannopyranoside",C38H74O9,C38H74O9,CSID113371223,"(3R,31R)-3,31-Dihydroxy-29-oxodotriacontyl α-D-mannopyranoside",1,0.19473625851778234
"1-O-(α-D-glucosyl)-29-keto-(3R,31R)-dotriacontanetriol",C38H74O9,C38H74O9,CSID58827379,"1-O-(α-D-glucosyl)-29-keto-(3R,31R)-dotriacontanetriol",2,0.19473625851778234
"2-Aminoethyl (2S,3R,4E)-3-hydroxy-2-(icosanoylamino)-4-pentadecen-1-yl hydrogen phosphate",C37H75N2O6P,C37H75N2O6P,CSID113381567,"2-Aminoethyl (2S,3R,4E)-3-hydroxy-2-(icosanoylamino)-4-pentadecen-1-yl hydrogen phosphate",3,0.12291242013569292
N-(heneicosanoyl)-tetradecasphing-4-enine-1-phosphoethanolamine,C37H75N2O6P,C37H75N2O6P,CSID58163824,N-(heneicosanoyl)-tetradecasphing-4-enine-1-phosphoethanolamine,4,0.1226285179469781
"2-Aminoethyl (2S,3R,4E)-3-hydroxy-2-(nonadecanoylamino)-4-hexadecen-1-yl hydrogen phosphate",C37H75N2O6P,C37H75N2O6P,CSID113381572,"2-Aminoethyl (2S,3R,4E)-3-hydroxy-2-(nonadecanoylamino)-4-hexadecen-1-yl hydrogen phosphate",5,0.12166218162725484
Anisacril,C22H18O3,C22H18O3,CSID19935,Anisacril,1,0.08357468216406126
[2-(Di-2-furylmethyl)phenyl](phenyl)methanol,C22H18O3,C22H18O3,CSID67172196,[2-(Di-2-furylmethyl)phenyl](phenyl)methanol,2,0.08355091942254875
"4-Hydroxy-6,7-dimethyl-3-(1-naphthylmethyl)-2H-chromen-2-one",C22H18O3,C22H18O3,CSID24631922,"4-Hydroxy-6,7-dimethyl-3-(1-naphthylmethyl)-2H-chromen-2-one",3,0.0779364359672568
4-Biphenylyl 3-(4-methoxyphenyl)acrylate,C22H18O3,C22H18O3,CSID4292952,4-Biphenylyl 3-(4-methoxyphenyl)acrylate,4,0.0779364359672568
"1-{4-(2-Furyl)-2-methyl-6-[(E)-2-phenylvinyl]phenyl}-1,2-propanedione",C22H18O3,C22H18O3,CSID65325238,"1-{4-(2-Furyl)-2-methyl-6-[(E)-2-phenylvinyl]phenyl}-1,2-propanedione",5,0.0779364359672568
Hunterioside B,C32H42N2O14,C32H42N2O14,CSID10203040,Hunterioside B,1,0.3473797927399388
"(2S,3R,4S)-2-{[6-O-(α-D-Glucopyranosyl)-β-D-glucopyranosyl]oxy}-4-[(1S)-2,3,4,9-tetrahydro-1H-β-carbolin-1-ylmethyl]-3-vinyl-3,4-dihydro-2H-pyran-5-carboxylic acid",C32H42N2O14,C32H42N2O14,CSID8547815,"(2S,3R,4S)-2-{[6-O-(α-D-Glucopyranosyl)-β-D-glucopyranosyl]oxy}-4-[(1S)-2,3,4,9-tetrahydro-1H-β-carbolin-1-ylmethyl]-3-vinyl-3,4-dihydro-2H-pyran-5-carboxylic acid",2,0.2641849194020104
"4,4′-Bis[(12-bromododecyl)oxy]biphenyl",C36H56Br2O2,C36H56Br2O2,CSID65325318,"4,4′-Bis[(12-bromododecyl)oxy]biphenyl",4,0.13670694954176796
Norfloxacin,C16H18FN3O3,C16H18FN3O3,CSID4380,Norfloxacin,1,0.03769847683743384
Norfloxacin,C16H18FN3O3,C16H18FN3O3,HMDB15192,Norfloxacin,2,0.03769258667771578
